stock_code
 NKE
 JPM
 KO
 GNL
 AAPL
 SBUX
 T
 MA
 PG
 OHI
 COST
 VZ
 MS
 MSFT
 V
 JNJ
 MCD
 BA
 BAC
 PEP
 WMT
 INTC
 WFC
 HON
 DPZ
 QCOM
 BLK
 GILD
 MMM
 UNH
 AMGN
 HD
 ADI
 ROST
 SWKS
 K
 EL
 GS
 DIS
 O
 SPY
 IVV
 VOO
 QQQ
 DIV
 SOXX
 XLF
 IBB
 VIG
 EWQ
 ARKQ
