company,grade,toeic,speaking,lang,cert,abr,inte,prize,vol,target
삼성SDI(주),3.92,853.0,6.0,1.4,2.5,1.4,1.3,2.1,1.8,2
포스코에너지(주),3.76,845.0,7.0,1.0,2.8,1.3,1.3,2.5,1.9,2
HDC(주),3.62,808.0,6.0,2.0,2.4,1.2,2.3,4.0,1.3,2
(주)KCC,3.72,833.0,7.0,1.0,2.4,1.0,1.0,1.2,1.7,2
㈜포스코P&S,3.76,953.0,8.0,1.0,3.5,1.3,1.4,0.0,1.0,2
(주)아모레퍼시픽,3.75,860.0,7.0,1.2,2.7,1.3,1.6,2.6,1.8,2
SK루브리컨츠(주),3.69,872.0,0.0,0.0,3.0,0.0,1.0,1.7,1.0,2
SK브로드밴드(주),3.78,836.0,7.0,1.1,2.0,1.4,1.1,2.7,2.2,2
(주)코스트코코리아,3.67,843.0,6.0,1.2,2.6,1.4,1.6,1.6,1.7,2
태광산업(주),3.85,912.0,7.0,1.7,2.6,1.0,1.0,1.0,4.0,2
(주)케이티앤지,3.8,862.0,6.0,1.0,2.8,1.2,1.3,3.3,1.3,2
한화에어로스페이스(주),3.74,835.0,6.0,1.7,2.3,1.3,1.2,1.5,1.3,2
팬오션(주),3.84,851.0,7.0,0.0,2.5,1.3,1.1,1.0,1.8,2
코닝정밀소재(주),3.76,876.0,7.0,1.5,2.8,1.1,1.8,1.8,1.0,2
(주)풍산,3.86,840.0,7.0,0.0,3.5,1.0,1.0,0.0,2.0,2
한온시스템(주),3.64,853.0,8.0,1.3,2.1,1.3,1.0,1.8,1.0,2
(주)호텔신라,3.8,848.0,7.0,1.3,2.6,1.4,1.5,1.8,1.6,2
한국바스프(주),3.7,793.0,7.0,1.3,2.5,1.6,1.8,1.6,1.5,2
(주)LG생활건강,3.68,877.0,7.0,1.5,2.2,1.4,1.3,1.6,1.5,2
STX조선해양㈜,3.76,838.0,6.0,1.0,2.0,1.1,1.0,1.0,1.9,2
OCI㈜,3.58,867.0,7.0,1.3,2.0,1.4,1.1,1.8,1.4,2
두산건설(주),3.8,869.0,6.0,1.0,2.7,1.0,1.5,1.4,2.5,2
아우디폭스바겐코리아(주),3.65,823.0,7.0,0.0,2.0,2.0,1.0,2.0,2.0,2
(주)코리아세븐,3.67,861.0,6.0,1.2,2.7,1.3,1.4,1.8,2.1,2
롯데로지스틱스투자(주),3.88,918.0,6.0,0.0,2.6,1.0,1.6,1.7,2.7,2
(주)세아베스틸,3.77,810.0,5.0,1.0,1.7,1.5,1.0,3.0,1.0,2
㈜GS글로벌,4.03,788.0,7.0,1.4,2.0,1.6,2.3,1.0,2.3,2
롯데칠성음료(주),3.81,843.0,7.0,1.4,2.9,1.3,1.4,1.6,2.2,2
삼성전자판매(주),3.73,785.0,6.0,1.1,2.6,1.6,1.3,2.5,2.1,2
한국항공우주산업(주),3.85,823.0,7.0,1.0,2.7,1.6,1.4,1.7,1.4,2
(주)이랜드리테일,3.67,841.0,6.0,1.1,2.5,1.3,1.3,1.7,1.9,2
웅진코웨이(주),3.81,806.0,6.0,1.3,2.2,1.3,1.7,1.6,1.9,2
(주)한진중공업,3.8,851.0,6.0,0.0,2.2,1.3,1.5,2.5,2.2,2
대한전선(주),3.81,838.0,7.0,1.0,2.5,1.5,1.3,1.3,1.6,2
(주)STX,3.85,898.0,7.0,1.2,2.3,1.1,1.3,1.3,1.6,2
볼보그룹코리아(주),3.83,924.0,7.0,1.0,2.0,1.7,1.7,0.0,1.0,2
서울도시가스(주),3.44,837.0,0.0,1.0,2.6,1.3,0.0,1.3,1.0,2
(주)농심,3.89,829.0,6.0,1.5,2.5,1.1,1.1,2.0,1.7,2
노벨리스코리아(주),3.58,832.0,7.0,0.0,2.3,1.3,1.7,2.0,3.0,2
SKC(주),3.71,844.0,7.0,1.5,2.5,1.1,1.0,1.8,1.8,2
SK㈜,3.6,817.0,7.0,1.0,2.2,1.6,1.2,1.5,1.2,2
(주)이수화학,4.03,790.0,6.0,0.0,2.8,1.0,1.0,2.5,2.0,2
LS산전(주),3.82,813.0,6.0,1.5,2.3,1.0,1.0,1.7,1.6,2
경기도시공사,3.69,805.0,6.0,2.0,2.4,2.0,1.6,2.5,2.0,2
홈플러스스토어즈(주),3.91,883.0,0.0,0.0,2.4,1.2,1.0,0.0,1.0,2
(주)세아제강지주,3.75,859.0,7.0,1.7,2.8,1.9,1.7,1.0,1.5,2
(주)두산,3.72,868.0,6.0,1.0,2.9,1.5,1.0,2.3,2.0,2
파리크라상,3.76,793.0,6.0,1.3,2.7,1.4,1.7,1.7,2.0,2
하이트진로(주),3.71,816.0,6.0,1.3,2.2,1.2,1.5,1.5,1.6,2
롯데지주㈜,3.76,814.0,6.0,1.0,2.6,1.3,1.5,1.9,1.9,2
현대트랜시스(주),3.63,848.0,6.0,1.0,1.6,1.1,1.4,1.8,1.6,2
코원에너지서비스(주),3.64,858.0,7.0,2.0,2.3,1.5,1.0,1.5,1.0,2
대상(주),3.71,816.0,6.0,1.0,2.5,1.3,1.0,1.5,1.7,2
롯데푸드(주),3.73,831.0,6.0,1.0,2.3,1.0,1.0,1.1,1.1,2
쌍용건설(주),3.67,856.0,6.0,0.0,2.1,1.6,1.6,1.7,1.4,2
(주)신세계,3.79,910.0,6.0,0.0,2.3,1.5,1.3,1.8,1.6,2
동서식품(주),3.9,883.0,7.0,1.0,2.6,1.5,1.7,0.0,2.0,2
(주)현대케피코,3.68,831.0,6.0,0.0,3.3,1.4,1.0,1.6,1.0,2
SK이노베이션(주),3.87,911.0,6.0,2.0,2.5,1.2,1.4,2.6,1.7,2
오비맥주(주),3.75,873.0,7.0,1.0,2.4,1.1,1.2,1.5,2.8,2
SK디스커버리,3.78,840.0,6.0,0.0,2.0,1.1,1.2,1.1,1.6,2
앰코테크놀로지코리아(주),3.77,840.0,6.0,1.1,2.1,1.5,1.3,1.3,1.6,2
(주)한라,3.9,835.0,6.0,1.0,2.5,1.0,1.0,1.0,1.3,2
금호산업(주),3.68,880.0,7.0,0.0,1.9,1.5,1.0,1.7,1.3,2
에스케이마리타임(주),3.63,834.0,0.0,1.0,2.7,2.0,0.0,0.0,1.0,2
(주)LF,3.78,912.0,8.0,1.0,1.8,1.8,1.7,2.3,2.1,2
쌍용양회공업(주),3.65,828.0,7.0,1.3,2.0,1.5,1.0,2.0,1.5,2
SPP조선㈜,3.64,845.0,6.0,1.0,2.8,1.0,1.0,1.0,1.5,2
한신공영㈜,3.47,823.0,7.0,1.0,2.5,1.2,1.6,2.5,1.8,2
넥센타이어(주),3.67,795.0,6.0,1.3,2.7,1.1,1.3,1.0,1.7,2
유한킴벌리(주),3.77,850.0,6.0,2.3,1.7,1.4,1.4,1.9,2.1,2
메르세데스벤츠코리아(주),3.71,880.0,7.0,1.0,2.0,1.7,0.0,0.0,0.0,2
(주)강원랜드,3.86,813.0,7.0,1.4,2.7,1.4,1.0,2.7,3.5,2
(주)팬택자산관리,3.68,832.0,6.0,1.2,2.1,1.3,1.2,1.6,1.7,2
글로벌세아(주),3.78,911.0,7.0,1.2,2.5,1.2,1.6,1.6,1.7,2
롯데정밀화학(주),3.8,840.0,7.0,1.0,2.4,1.5,1.3,2.3,1.5,2
한국쓰리엠(주),3.78,871.0,7.0,1.0,2.0,1.2,1.5,1.7,2.0,2
(주)서원홀딩스,3.65,670.0,5.0,0.0,3.2,1.0,1.2,3.0,2.5,2
(주)부영주택,3.75,798.0,6.0,1.0,2.3,1.0,1.0,2.3,2.0,2
도레이첨단소재(주),3.67,829.0,7.0,1.9,2.2,1.4,1.3,2.7,1.8,2
(주)판토스,3.75,878.0,6.0,1.3,3.0,1.6,1.6,1.4,2.0,2
(주)삼양사,3.66,912.0,8.0,0.0,2.2,1.0,1.0,1.0,3.8,2
(주)한양,3.73,851.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,2
(주)포스코케미칼,3.63,869.0,7.0,1.0,1.8,1.5,3.0,2.7,2.0,2
삼성전자서비스(주),3.64,700.0,6.0,1.3,2.9,1.3,1.7,1.5,1.7,2
(주)현대그린푸드,3.75,836.0,7.0,1.4,2.9,1.2,1.4,1.8,2.0,2
소니코리아(주),3.6,836.0,5.0,1.3,2.4,1.5,1.3,4.0,1.3,2
한국환경공단,3.74,763.0,6.0,1.0,2.7,1.1,1.3,1.4,2.1,2
(주)휴비스,3.83,795.0,6.0,1.0,1.7,1.5,1.5,2.0,1.7,2
(주)한진,3.81,898.0,7.0,1.0,3.4,1.5,1.3,1.5,2.0,2
서울대학교병원,3.81,805.0,7.0,1.1,2.5,1.7,1.5,1.7,1.9,2
(주)동원F&B,3.77,827.0,6.0,1.3,2.5,1.1,1.7,1.4,2.1,2
한국아이비엠(주),3.74,856.0,7.0,1.0,2.7,1.3,1.1,2.0,1.8,2
한국산업기술진흥원,3.59,873.0,7.0,0.0,2.1,1.0,1.4,1.3,3.0,2
(주)부산도시가스,3.64,855.0,6.0,1.0,2.7,1.0,1.3,1.0,1.0,2
엘아이지넥스원(주),3.75,839.0,6.0,0.0,1.8,1.5,1.4,2.0,1.7,2
남양유업(주),3.86,870.0,7.0,1.0,2.6,1.0,1.8,1.0,1.7,2
에스트라오토모티브시스템(주),3.56,847.0,7.0,1.0,2.2,1.6,1.3,1.3,2.8,2
대한제당(주),3.52,895.0,6.0,0.0,1.8,1.3,1.3,3.0,2.5,2
(주)농협유통,3.74,834.0,6.0,1.0,2.3,1.0,1.5,1.0,2.0,2
한세실업(주),3.85,926.0,8.0,1.0,1.2,1.4,2.1,1.8,4.9,2
(주)에스원,3.81,757.0,6.0,1.0,2.9,1.1,1.8,2.4,1.5,2
(주)아워홈,3.71,779.0,6.0,1.2,3.0,1.3,1.6,1.9,1.8,2
매일유업(주),3.8,865.0,7.0,1.1,2.3,1.5,1.6,2.0,2.0,2
한국석유공사,3.77,869.0,6.0,1.0,2.9,1.7,1.4,1.5,1.8,2
(주)현대백화점,3.72,803.0,7.0,1.1,2.4,1.3,1.7,2.1,2.1,2
한전KPS(주),3.66,862.0,6.0,1.0,2.6,1.0,1.3,2.7,1.3,2
고려해운(주),3.81,785.0,7.0,0.0,3.0,1.0,1.6,1.5,1.4,2
(주)경신,3.8,848.0,7.0,1.0,2.8,1.7,1.3,1.8,1.0,2
㈜대우전자,3.67,845.0,6.0,1.0,2.3,1.4,1.2,2.3,2.3,2
피에스앤마케팅(주),3.49,797.0,6.0,1.1,2.4,1.4,1.9,1.7,2.1,2
(주)영원무역,3.73,904.0,7.0,0.0,2.3,1.5,2.0,2.0,1.0,2
한국옵티칼하이테크(주),3.61,747.0,6.0,1.3,2.4,1.7,2.0,1.5,1.5,2
(주)유라코퍼레이션,3.41,854.0,6.0,0.0,3.1,1.3,1.3,2.0,1.9,2
STX중공업(주),4.02,840.0,6.0,0.0,2.2,1.5,0.0,1.0,2.0,2
GS파워㈜,3.5,735.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,2
(주)지오영,3.55,774.0,7.0,1.0,2.7,1.3,1.0,2.0,1.5,2
삼성전자로지텍(주),3.62,825.0,8.0,1.0,3.0,1.4,1.3,0.0,1.0,2
서울메트로,3.78,815.0,7.0,1.2,2.5,1.4,1.8,1.4,2.3,2
현대엘리베이터(주),3.72,834.0,6.0,1.0,2.5,1.5,1.5,1.9,1.6,2
한국니토옵티칼㈜,3.85,807.0,7.0,1.3,2.9,1.2,4.0,2.0,1.3,2
㈜GS E&R,4.02,891.0,6.0,1.0,2.5,0.0,2.0,1.5,2.7,2
(주)케이씨씨건설,3.76,845.0,6.0,1.0,1.9,1.5,1.1,1.0,1.6,2
(주)영풍,3.62,685.0,0.0,0.0,2.0,1.3,0.0,2.3,1.3,2
㈜포스코ICT,3.69,846.0,6.0,1.0,2.8,1.8,1.3,0.0,1.0,2
계룡건설산업(주),3.52,827.0,6.0,1.4,2.5,1.4,2.2,1.3,1.7,2
한국무역보험공사,3.79,851.0,6.0,1.1,3.8,1.5,2.3,1.3,1.6,2
㈜GS홈쇼핑,3.58,904.0,7.0,1.0,1.9,1.1,1.4,1.5,1.9,2
한화호텔앤드리조트(주),3.78,842.0,6.0,1.3,2.6,1.5,1.5,2.0,1.6,2
금호피앤비화학㈜,3.87,823.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2
대한제강(주),3.69,859.0,6.0,1.0,3.0,1.7,1.2,1.5,1.1,2
(주)히타치엘지데이터스토리지코리아,3.67,818.0,0.0,1.3,2.2,2.3,1.7,1.0,1.0,2
㈜포스코엔지니어링,3.76,845.0,6.0,1.3,2.8,1.1,1.0,1.6,1.1,2
(주)파트론,3.66,691.0,6.0,1.3,2.6,1.3,1.3,1.8,1.9,2
성동조선해양(주),3.67,789.0,6.0,1.1,2.6,1.4,1.8,1.5,1.6,2
㈜CJ헬로,3.73,876.0,6.0,0.0,2.6,1.1,1.4,1.9,1.2,2
희성전자(주),3.63,739.0,6.0,0.0,1.8,1.0,1.7,0.0,2.0,2
코카콜라음료(주),3.69,655.0,7.0,1.0,2.5,1.3,2.0,1.6,1.5,2
동부건설(주),3.75,847.0,7.0,1.0,2.3,1.3,1.0,1.6,1.0,2
(주)인터플렉스,3.6,800.0,6.0,1.1,2.3,1.3,1.6,1.4,1.9,2
롯데알미늄(주),3.56,810.0,7.0,1.5,2.2,1.9,1.7,2.8,2.3,2
LT메탈,3.84,748.0,7.0,1.5,2.0,1.7,0.0,2.0,5.0,2
롯데지알에스(주),3.75,764.0,6.0,1.1,2.6,1.2,1.5,1.7,1.9,2
서울반도체(주),3.72,799.0,6.0,1.1,2.5,1.3,1.1,2.1,1.7,2
SPC삼립,3.58,831.0,6.0,1.3,2.9,1.4,1.3,2.3,2.0,2
텍사스인스트루먼트코리아(주),3.73,905.0,7.0,1.0,3.3,1.0,1.0,1.0,2.0,2
(주)휴맥스,3.68,950.0,6.0,0.0,1.7,1.0,1.0,1.0,2.0,2
한일홀딩스(주),3.5,864.0,6.0,0.0,1.6,1.3,0.0,2.0,1.0,2
(주)호반건설,3.65,869.0,6.0,1.0,2.2,1.0,1.0,1.5,1.7,2
(주)한샘,3.75,825.0,7.0,1.0,2.7,1.4,1.5,2.0,2.4,2
SK E&S,3.72,854.0,7.0,1.0,2.1,1.5,1.1,1.3,1.9,2
CJ푸드빌㈜,3.69,834.0,6.0,1.0,2.5,1.2,1.2,1.9,1.4,2
(주)성우하이텍,3.56,800.0,6.0,1.0,2.3,1.6,1.0,2.0,1.8,2
롯데글로벌로지스(주),3.67,829.0,7.0,1.0,2.4,1.5,1.6,2.5,1.9,2
(주)유한양행,3.55,823.0,7.0,1.4,2.4,1.1,1.8,1.3,2.4,2
태광실업(주),3.69,825.0,6.0,1.0,2.2,1.5,1.5,2.0,1.7,2
(주)제일기획,3.78,865.0,7.0,1.1,2.0,1.4,1.4,2.4,2.2,2
에이지씨화인테크노한국(주),3.62,848.0,0.0,1.4,3.0,1.7,1.0,3.0,1.7,2
세방전지(주),4.0,885.0,7.0,1.0,2.7,1.7,0.0,1.0,3.0,2
매그나칩반도체(유),3.75,764.0,6.0,1.0,1.9,1.1,1.3,1.3,1.0,2
CJ E&M㈜,3.73,877.0,7.0,1.1,2.2,1.3,1.6,1.9,1.8,2
폴리미래(주),3.76,865.0,6.0,1.0,1.0,2.0,0.0,3.0,1.0,2
비테스코테크놀로지스코리아(주),3.62,827.0,7.0,2.0,2.4,1.4,1.0,1.7,2.0,2
도레이케미칼(주),3.73,845.0,6.0,2.0,1.9,1.4,2.5,4.0,2.7,2
세메스(주),3.59,830.0,6.0,1.7,1.8,1.7,1.0,3.7,1.5,2
(주)카길애그리퓨리나,3.67,870.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,2
㈜KT M&S,3.69,835.0,6.0,1.0,3.0,1.0,1.6,3.0,1.6,2
가온전선(주),3.67,844.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,2
(주)삼탄,3.63,874.0,7.0,1.0,2.8,1.0,1.0,0.0,1.0,2
한솔섬유(주),3.68,876.0,6.0,1.1,2.5,1.5,1.6,1.9,2.3,2
한성자동차(주),3.72,807.0,7.0,1.5,2.5,1.5,3.0,1.0,2.8,2
롯데렌탈(주),3.66,763.0,6.0,1.0,2.2,2.0,1.8,1.8,1.5,2
에스케이실트론(주),3.7,846.0,6.0,1.0,1.9,1.2,1.0,2.0,2.4,2
덕양산업(주),3.75,900.0,0.0,1.0,3.0,1.0,1.0,2.0,2.3,2
경남에너지(주),4.02,843.0,0.0,0.0,3.1,1.0,1.0,0.0,1.0,2
타타대우상용차(주),3.93,837.0,0.0,0.0,2.3,1.4,3.0,4.0,0.0,2
포스코강판(주),3.88,810.0,6.0,0.0,2.0,1.3,0.0,3.0,3.0,2
(주)문화방송,3.64,810.0,6.0,1.3,2.1,1.3,1.3,1.6,2.1,2
장금상선㈜,3.58,828.0,5.0,1.3,2.7,1.3,0.0,1.0,1.4,2
(주)빙그레,3.62,831.0,7.0,1.3,1.8,1.3,1.5,2.3,1.4,2
순천향대학교,4.01,762.0,5.0,1.3,2.3,1.5,1.7,1.0,2.1,2
대원강업(주),3.73,830.0,6.0,0.0,2.5,1.0,1.5,1.7,1.5,2
(주)현대홈쇼핑,3.7,829.0,6.0,1.3,2.5,1.3,2.1,2.5,1.9,2
일진전기(주),3.58,837.0,0.0,1.0,3.2,1.3,1.4,2.0,1.9,2
폴라리스쉬핑(주),3.43,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2
(주)멜파스,3.61,793.0,6.0,1.0,2.4,1.5,1.5,1.5,1.4,2
㈜오리온,3.73,857.0,6.0,1.3,2.8,1.1,1.3,2.0,1.7,2
한국미니스톱(주),3.56,747.0,6.0,1.0,2.8,1.3,1.3,1.8,3.0,2
(주)신세계인터내셔날,3.7,915.0,6.0,1.2,2.2,1.5,1.6,1.7,2.0,2
(주)서희건설,3.67,788.0,6.0,0.0,1.8,1.0,1.3,2.2,2.7,2
(주)하림,3.79,877.0,7.0,0.0,3.4,1.3,1.0,1.5,1.3,2
엘지엔시스(주),3.62,842.0,6.0,0.0,3.2,1.0,1.0,0.0,1.5,2
(주)한국인삼공사,3.71,780.0,0.0,1.6,2.3,2.0,1.5,1.7,2.6,2
한국에너지공단,3.74,786.0,7.0,1.5,2.5,2.0,2.3,1.0,2.0,2
휴켐스(주),3.72,780.0,5.0,1.0,3.3,1.5,0.0,1.0,0.0,2
한국산업인력공단,3.76,868.0,7.0,1.8,3.3,1.5,1.3,1.8,2.3,2
아디다스코리아유한책임회사,3.72,880.0,7.0,1.0,1.9,1.4,2.7,3.0,1.0,2
한국보훈복지의료공단,3.75,830.0,6.0,0.0,4.0,2.0,2.0,1.3,2.0,2
㈜롯데홈쇼핑,3.93,914.0,7.0,1.5,2.2,1.5,1.1,1.6,1.0,2
CJ CGV(주),3.6,858.0,6.0,1.0,2.4,1.1,1.2,1.6,1.3,2
(주)대교,3.75,813.0,6.0,1.2,2.1,1.3,1.1,2.1,2.1,2
한국전력기술(주),3.61,765.0,6.0,1.2,2.5,1.4,2.0,1.5,2.2,2
(주)창신아이엔씨,3.6,965.0,8.0,1.0,2.0,2.0,1.0,1.0,6.0,2
파주전기초자(주),3.59,615.0,4.0,1.3,2.4,1.3,3.0,2.8,2.0,2
경남기업(주),3.68,833.0,6.0,1.0,2.3,1.8,1.0,1.3,1.8,2
(주)아성다이소,3.65,771.0,6.0,1.3,2.4,1.2,1.4,2.0,2.2,2
S&T모티브(주),3.7,710.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2
고려개발(주),3.95,831.0,0.0,2.0,2.9,1.7,1.0,1.3,3.0,2
(주)팜스코,3.91,745.0,4.0,0.0,2.5,2.0,2.0,1.0,3.0,2
흥아해운(주),3.77,841.0,6.0,1.0,2.8,1.5,0.0,4.0,4.0,2
HSD엔진㈜,3.75,821.0,0.0,1.0,1.9,1.2,1.4,2.0,1.0,2
대덕전자(주),3.65,793.0,6.0,1.0,2.1,1.4,1.8,2.3,1.4,2
한국프랜지공업(주),3.77,826.0,0.0,0.0,2.7,3.5,1.5,2.0,1.3,2
(주)대창,3.86,860.0,6.0,1.0,3.0,1.8,0.0,1.0,0.0,2
(주)신세계푸드,3.84,851.0,7.0,1.0,3.3,1.3,1.5,1.9,3.0,2
해태제과식품(주),3.67,777.0,6.0,1.3,2.3,1.5,1.4,1.8,1.9,2
(주)삼동,3.57,818.0,7.0,0.0,2.3,1.3,1.0,4.0,3.0,2
도시바일렉트로닉스코리아(주),3.81,839.0,0.0,1.0,1.7,1.5,0.0,0.0,0.0,2
(주)SBS,3.7,834.0,6.0,1.0,2.7,1.3,1.1,2.2,1.9,2
STX엔진(주),3.85,847.0,0.0,1.0,2.0,1.4,1.1,1.5,1.0,2
신성통상(주),3.64,835.0,7.0,1.2,2.6,1.9,1.6,2.7,2.9,2
(주)포스코엠텍,3.86,877.0,6.0,1.0,1.5,1.2,1.3,1.2,2.0,2
(주)LS네트웍스,3.6,865.0,0.0,0.0,2.7,0.0,0.0,1.0,0.0,2
동원산업(주),3.66,829.0,8.0,1.0,2.5,1.7,2.0,1.5,1.3,2
한국필립모리스(주),3.59,880.0,7.0,1.0,2.6,1.5,1.3,1.5,3.0,2
(주)이마트에브리데이,3.59,790.0,6.0,1.0,2.3,1.3,1.8,1.5,2.1,2
한국공항공사,3.91,903.0,7.0,1.0,2.9,1.1,1.2,3.0,2.2,2
(주)대웅제약,3.77,833.0,6.0,1.3,2.4,1.4,1.4,2.1,2.1,2
(주)에스아이플렉스,3.72,743.0,6.0,1.4,2.1,1.2,1.8,1.8,1.8,2
(주)팜한농,3.54,850.0,6.0,1.0,2.6,1.6,1.1,2.0,2.0,2
에릭슨엘지(주),3.64,850.0,7.0,1.0,3.8,1.8,1.5,1.0,3.0,2
(주)드림텍,3.65,821.0,6.0,1.0,2.5,1.4,2.0,1.7,2.1,2
(주)화승네트웍스,3.97,878.0,7.0,1.0,1.7,2.0,1.0,3.0,4.0,2
(주)이라이콤,3.56,729.0,6.0,1.2,2.0,1.5,1.4,2.4,2.0,2
(주)화신,3.52,906.0,7.0,0.0,1.6,1.4,1.0,1.5,1.7,2
동원로엑스(주),3.83,891.0,6.0,0.0,2.4,1.0,1.3,1.3,2.5,2
㈜이베이코리아,3.73,885.0,6.0,1.4,2.3,1.4,1.9,1.6,2.1,2
GS네오텍(주),3.67,859.0,6.0,1.0,2.3,1.6,1.0,3.0,0.0,2
일진디스플레이(주),3.63,782.0,6.0,1.0,2.2,1.4,2.3,1.9,1.2,2
한국암웨이(주),3.77,892.0,7.0,1.4,2.5,1.5,2.4,2.4,2.1,2
국도화학(주),4.08,853.0,5.0,0.0,1.5,2.3,1.0,3.0,2.0,2
(주)화승알앤에이,3.82,848.0,7.0,0.0,2.3,2.0,1.0,0.0,1.3,2
태평양물산(주),3.74,846.0,7.0,1.1,2.6,1.7,2.0,2.0,1.0,2
한국제지(주),3.7,630.0,5.0,0.0,2.5,1.7,1.0,0.0,2.5,2
한국산업단지공단,3.77,847.0,6.0,1.5,2.1,1.3,1.0,1.8,2.4,2
풀무원식품(주),3.79,858.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2
(주)엔투비,3.83,893.0,7.0,2.0,2.0,1.7,2.0,1.0,2.8,2
깨끗한나라(주),3.83,858.0,7.0,1.7,2.9,1.0,1.0,1.8,2.3,2
(주)삼호,3.61,918.0,6.0,1.0,2.7,0.0,1.0,0.0,1.0,2
울트라건설㈜,3.67,837.0,7.0,0.0,2.5,1.2,1.0,1.0,2.5,2
(주)시몬느,3.84,891.0,7.0,1.0,2.6,1.7,3.0,2.0,1.0,2
해양에너지,3.83,832.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2
백제약품(주),3.79,0.0,0.0,1.0,3.2,1.4,3.0,1.0,1.7,2
(주)교원구몬,3.68,714.0,6.0,1.2,2.6,1.4,1.8,2.1,2.1,2
한화시스템(주),3.82,833.0,6.0,1.0,1.8,1.1,1.1,1.7,2.1,2
비에이치아이(주),3.76,936.0,8.0,1.0,1.7,1.5,1.0,2.0,0.0,2
(주)메가마트,3.68,806.0,7.0,1.0,2.6,1.2,2.3,1.0,1.4,2
㈜사조해표,3.63,844.0,6.0,0.0,2.4,1.7,1.0,2.7,2.2,2
(주)루멘스,3.6,844.0,5.0,1.3,3.4,1.8,1.0,2.5,3.5,2
롯데IT테크(주),3.77,803.0,6.0,1.5,2.0,1.3,1.4,1.5,1.6,2
KT스카이라이프㈜,3.81,907.0,6.0,0.0,1.8,0.0,1.5,5.0,0.0,2
(주)디아이디,3.64,650.0,6.0,1.0,2.4,1.2,1.0,3.0,1.3,2
한국화이자제약(주),3.73,916.0,8.0,1.0,2.5,1.4,1.3,1.6,2.9,2
서울대학교,3.67,865.0,7.0,0.0,2.5,3.0,1.5,4.5,2.3,2
(주)포스코플랜텍,3.89,844.0,7.0,1.0,2.9,1.8,1.3,2.3,2.2,2
서울특별시도시철도공사,3.42,858.0,6.0,1.0,2.3,1.0,1.0,4.0,2.0,2
㈜일진글로벌,3.55,838.0,6.0,1.0,2.7,1.0,2.5,3.0,1.5,2
덴소코리아오토모티브㈜,3.81,733.0,7.0,1.4,3.0,1.6,1.0,1.5,1.5,2
한국토요타자동차(주),3.82,865.0,7.0,0.0,2.0,1.0,2.0,2.0,3.0,2
(주)비와이엔블랙야크,3.62,793.0,6.0,1.0,2.3,1.0,1.5,1.0,2.5,2
오티스엘리베이터(유),3.83,795.0,7.0,1.7,2.4,1.2,1.6,1.5,1.8,2
(주)삼광,3.68,788.0,4.0,1.0,2.6,2.5,1.0,1.5,1.0,2
에스엘(주),3.69,865.0,7.0,1.0,2.3,1.7,2.0,3.0,2.3,2
아주모터스㈜,3.53,709.0,0.0,0.0,3.3,1.0,0.0,2.0,0.0,2
(주)케이티디에스,3.57,857.0,7.0,0.0,1.8,1.5,1.1,1.0,2.0,2
에이에스이코리아(주),3.76,858.0,7.0,1.0,2.4,1.5,1.0,1.0,1.7,2
㈜KT이엔지코어,3.74,838.0,0.0,0.0,2.8,1.0,2.0,0.0,1.0,2
(주)신원,3.43,876.0,7.0,1.1,2.5,1.3,1.8,1.0,1.5,2
LG,3.67,845.0,4.0,1.0,1.7,1.0,1.1,1.7,1.2,2
(주)화승,3.46,889.0,8.0,1.0,2.4,1.3,1.0,2.0,2.0,2
아이에스동서㈜,3.69,868.0,6.0,1.5,2.9,2.0,1.6,1.7,2.0,2
대한적십자사,3.85,863.0,7.0,1.7,2.0,1.4,1.4,1.3,1.5,2
한미약품(주),3.67,818.0,6.0,0.0,1.9,2.2,1.2,1.6,3.9,2
내셔날오일웰바르코코리아㈜,3.62,795.0,5.0,1.0,2.0,2.0,2.0,1.0,1.5,2
그랜드코리아레저(주),3.67,797.0,6.0,1.3,1.6,1.6,1.0,1.0,2.3,2
(주)케이에이치바텍,3.71,879.0,0.0,1.0,3.0,1.5,0.0,3.0,2.0,2
LS오토모티브(주),3.57,796.0,6.0,1.0,2.5,1.2,2.0,2.2,2.2,2
한국국제협력단,3.93,855.0,7.0,1.4,2.8,1.7,1.6,1.9,2.6,2
파나소닉디바이스세일즈코리아㈜,3.73,762.0,6.0,1.5,2.1,1.4,2.0,1.5,1.0,2
한국과학기술원,3.75,850.0,7.0,1.3,2.2,1.7,1.5,2.3,2.5,2
대덕지디에스㈜,3.72,790.0,7.0,1.3,2.1,1.6,1.0,0.0,2.3,2
(주)동진쎄미켐,3.77,762.0,6.0,1.4,2.9,1.6,1.4,1.6,2.0,2
(주)세정,3.75,849.0,6.0,1.4,2.0,1.8,1.8,2.8,2.3,2
㈜SYS리테일,3.61,731.0,5.0,1.2,3.0,1.5,1.0,2.3,2.1,2
에스맥(주),3.94,533.0,4.0,1.3,1.8,2.0,1.5,1.0,2.5,2
