company,grade,toeic,speaking,lang,cert,abr,inte,prize,vol,target
동부엔지니어링(주),3.81,790.0,0.0,1.0,2.3,1.2,0.0,0.0,2.0,2
(주)티몬,3.62,800.0,6.0,1.2,2.6,1.5,1.8,2.4,1.9,2
㈜이테크건설,3.7,834.0,6.0,1.5,2.6,1.7,1.3,2.0,1.1,2
SK인포섹(주),3.54,697.0,6.0,1.0,2.9,1.2,1.5,1.5,1.6,2
현대아산(주),3.66,833.0,7.0,1.3,2.7,1.6,1.2,1.0,1.7,2
현대자동차(주),3.79,863.0,7.0,1.3,2.3,1.2,1.3,1.7,1.6,2
GS리테일,3.67,861.0,7.0,1.0,2.9,1.3,1.3,1.8,1.9,2
(주)오뚜기,3.68,834.0,6.0,1.2,2.7,1.3,1.3,1.8,1.7,2
(주)경농,3.29,857.0,7.0,0.0,2.3,1.0,1.0,1.0,2.0,2
JW중외제약(주),3.62,802.0,7.0,1.2,2.4,1.5,1.3,2.0,2.4,2
한국지역난방공사,3.65,827.0,6.0,1.5,2.6,1.5,1.3,1.8,2.1,2
굿네이버스,3.64,913.0,7.0,1.0,2.7,1.0,0.0,1.0,4.5,2
(주)소노호텔앤리조트,3.71,800.0,6.0,1.0,2.8,1.5,2.3,2.0,1.8,2
대림산업㈜,3.77,846.0,7.0,1.2,2.7,1.2,1.4,2.1,1.6,2
(주)휴넷,3.81,845.0,4.0,1.3,1.8,1.8,1.8,2.3,2.4,2
행복나래(주),3.58,828.0,7.0,2.0,2.5,1.2,0.0,1.0,1.5,2
버거킹,3.68,880.0,7.0,1.0,2.4,1.6,1.7,3.0,2.3,2
한국야금(주),4.04,885.0,5.0,0.0,4.3,2.0,2.0,2.0,1.7,2
(주)유비케어,3.6,790.0,6.0,1.0,2.8,1.8,0.0,3.0,3.0,2
(주)쁘띠엘린,3.78,824.0,6.0,2.0,2.1,1.1,1.8,2.6,2.5,2
(주)한국하우톤,3.85,730.0,6.0,2.0,4.0,2.0,1.0,5.0,1.3,2
현대상선(주),3.88,865.0,7.0,1.0,2.2,1.3,1.1,1.5,1.5,2
(주)알티캐스트,3.81,864.0,7.0,1.3,2.4,1.7,0.0,2.4,1.6,2
(주)한국아트라스비엑스,3.67,841.0,5.0,1.5,2.5,1.1,0.0,2.0,2.0,2
한국토지주택공사,3.65,772.0,6.0,1.2,2.7,1.3,1.5,1.5,2.3,2
현대비앤지스틸(주),3.65,905.0,8.0,0.0,3.0,2.0,1.3,2.0,1.3,2
인천항만공사,3.78,963.0,8.0,2.0,2.8,1.5,1.0,1.3,4.0,2
콘티넨탈오토모티브일렉트로닉스(유),3.53,886.0,7.0,0.0,2.0,2.0,1.3,1.0,2.5,2
㈜LG하우시스,3.85,860.0,7.0,1.0,2.6,1.7,1.2,2.1,2.3,2
신라스테이(주),3.78,836.0,5.0,3.6,3.8,2.9,2.0,3.5,2.0,2
네이버비즈니스플랫폼(주),3.9,935.0,6.0,0.0,2.5,2.0,1.0,2.0,3.5,2
(주)인컴즈,3.64,713.0,4.0,1.2,2.9,1.1,1.2,1.5,2.4,2
(주)비상교육,3.8,837.0,7.0,1.0,2.6,1.7,1.1,2.0,2.4,2
한국지질자원연구원,3.78,758.0,7.0,1.0,2.5,1.1,1.0,2.4,1.8,2
(주)웰크론한텍,3.51,765.0,5.0,2.0,3.8,1.0,0.0,0.0,0.0,2
